,index,year,state,district,party,votes,totalvotes,two_party_pct,total_pct
412,412,1976,MO,6,DEMOCRAT,83755,206661,0.40911177976202107,0.40527724147275007
413,413,1976,MO,6,REPUBLICAN,120969,206661,0.5908882202379789,0.5853499208849275
414,414,1976,MO,7,DEMOCRAT,81848,215504,0.37979805479248646,0.37979805479248646
415,415,1976,MO,7,REPUBLICAN,133656,215504,0.6202019452075136,0.6202019452075136
416,416,1976,MO,8,DEMOCRAT,132386,196647,0.687487341936489,0.6732164741897919
417,417,1976,MO,8,REPUBLICAN,60179,196647,0.31251265806351103,0.3060255178060179
418,418,1976,MO,9,DEMOCRAT,120325,215141,0.5592843762927568,0.5592843762927568
419,419,1976,MO,9,REPUBLICAN,94816,215141,0.44071562370724315,0.44071562370724315
420,420,1976,MO,10,DEMOCRAT,131675,182699,0.7207209672740409,0.7207209672740409
421,421,1976,MO,10,REPUBLICAN,51024,182699,0.2792790327259591,0.2792790327259591
422,422,1976,MS,1,DEMOCRAT,93687,93687,1.0,1.0
423,423,1976,MS,2,DEMOCRAT,75092,119173,0.6380328481727885,0.6301091690231848
424,424,1976,MS,2,REPUBLICAN,42601,119173,0.36196715182721145,0.35747191058377314
425,425,1976,MS,3,DEMOCRAT,129088,137409,0.9394435590099629,0.9394435590099629
426,426,1976,MS,3,REPUBLICAN,8321,137409,0.06055644099003704,0.06055644099003704
427,427,1976,MS,4,DEMOCRAT,28737,132991,0.22127682510837846,0.21608229128286877
428,428,1976,MS,4,REPUBLICAN,101132,132991,0.7787231748916216,0.7604424359543127
429,429,1976,MS,5,DEMOCRAT,48724,153278,0.3178799305836454,0.3178799305836454
430,430,1976,MS,5,REPUBLICAN,104554,153278,0.6821200694163546,0.6821200694163546
431,431,1976,MT,1,DEMOCRAT,111487,167784,0.6644674104801411,0.6644674104801411
432,432,1976,MT,1,REPUBLICAN,56297,167784,0.33553258951985887,0.33553258951985887
433,433,1976,MT,2,DEMOCRAT,68972,153121,0.45044115438117566,0.45044115438117566
434,434,1976,MT,2,REPUBLICAN,84149,153121,0.5495588456188243,0.5495588456188243
435,435,1976,NC,1,DEMOCRAT,98611,129956,0.7709646146388754,0.7588029794699744
436,436,1976,NC,1,REPUBLICAN,29295,129956,0.22903538536112458,0.22542245067561328
437,437,1976,NC,2,DEMOCRAT,113368,113368,1.0,1.0
438,438,1976,NC,3,DEMOCRAT,77193,112282,0.6874922071213552,0.6874922071213552
439,439,1976,NC,3,REPUBLICAN,35089,112282,0.31250779287864483,0.31250779287864483
440,440,1976,NC,4,DEMOCRAT,92165,152082,0.6060217514235742,0.6060217514235742
441,441,1976,NC,4,REPUBLICAN,59917,152082,0.3939782485764259,0.3939782485764259
442,442,1976,NC,5,DEMOCRAT,98789,182164,0.543041370287712,0.542308030126699
443,443,1976,NC,5,REPUBLICAN,83129,182164,0.45695862971228796,0.4563415383939747
444,444,1976,NC,6,DEMOCRAT,103851,107811,0.979837340076235,0.9632690541781451
445,445,1976,NC,6,REPUBLICAN,2137,107811,0.020162659923764953,0.019821725055884837
446,446,1976,NC,7,DEMOCRAT,95463,117418,0.8130184469161458,0.8130184469161458
447,447,1976,NC,7,REPUBLICAN,21955,117418,0.18698155308385425,0.18698155308385425
448,448,1976,NC,8,DEMOCRAT,99296,151081,0.6691556034773233,0.657236846459846
449,449,1976,NC,8,REPUBLICAN,49094,151081,0.3308443965226767,0.3249515160741589
450,450,1976,NC,9,DEMOCRAT,70847,153788,0.4626168834560936,0.4606796369027492
451,451,1976,NC,9,REPUBLICAN,82297,153788,0.5373831165439064,0.5351327801909121
452,452,1976,NC,10,DEMOCRAT,67190,167072,0.40216194215667495,0.40216194215667495
453,453,1976,NC,10,REPUBLICAN,99882,167072,0.597838057843325,0.597838057843325
454,454,1976,NC,11,DEMOCRAT,93857,184405,0.513977952893888,0.5089720994550039
455,455,1976,NC,11,REPUBLICAN,88752,184405,0.48602204710611197,0.4812884683170196
456,456,1976,ND,0,DEMOCRAT,104263,289881,0.36547474244692074,0.3596751770554124
457,457,1976,ND,0,REPUBLICAN,181018,289881,0.6345252575530792,0.6244562423891183
458,458,1976,NE,1,DEMOCRAT,53699,200268,0.2681504267016883,0.26813569816445965
459,459,1976,NE,1,REPUBLICAN,146558,200268,0.7318495732983117,0.7318093754369145
460,460,1976,NE,2,DEMOCRAT,106296,194775,0.5460934610168098,0.5457373892953408
461,461,1976,NE,2,REPUBLICAN,88352,194775,0.45390653898319017,0.4536105763059941
462,462,1976,NE,3,DEMOCRAT,51012,206765,0.2528701445482125,0.24671486953788116
463,463,1976,NE,3,REPUBLICAN,150720,206765,0.7471298554517876,0.7289434865668755
464,464,1976,NH,1,DEMOCRAT,107806,158242,0.691538426998005,0.6812729869440477
465,465,1976,NH,1,REPUBLICAN,48087,158242,0.30846157300199495,0.3038826607348239
466,466,1976,NH,2,DEMOCRAT,65792,166703,0.39466596282010524,0.39466596282010524
467,467,1976,NH,2,REPUBLICAN,100911,166703,0.6053340371798948,0.6053340371798948
468,468,1976,NJ,1,DEMOCRAT,136624,194898,0.7079440584080793,0.7010025757062669
469,469,1976,NJ,1,REPUBLICAN,56363,194898,0.2920559415919207,0.2891922954571109
470,470,1976,NJ,2,DEMOCRAT,141753,229668,0.6172083180939443,0.6172083180939443
